titleId,primaryTitle,originalTitle,averageRating,numVotes,startYear,runtimeMinutes,genres,foreignFlag,directors,primaryName
tt0004972,The Birth of a Nation,The Birth of a Nation,6.1,26443,1915,195,"Drama,History,War",false,nm0000428,D.W. Griffith
tt0006864,Intolerance,Intolerance: Love's Struggle Throughout the Ages,7.7,16792,1916,163,"Drama,History",true,nm0000428,D.W. Griffith
tt0009968,Broken Blossoms,Broken Blossoms or The Yellow Man and the Girl,7.2,11104,1919,90,"Drama,Romance",true,nm0000428,D.W. Griffith
tt0010323,The Cabinet of Dr. Caligari,Das Cabinet des Dr. Caligari,8.0,70451,1920,67,"Horror,Mystery,Thriller",true,nm0927468,Robert Wiene
tt0012349,The Kid,The Kid,8.2,135510,1921,68,"Comedy,Drama,Family",false,nm0000122,Charles Chaplin
tt0012364,The Phantom Carriage,Körkarlen,8.0,14190,1921,107,"Drama,Fantasy,Horror",true,nm0803705,Victor Sjöström
tt0013257,Häxan,Häxan,7.6,16873,1922,91,"Documentary,Fantasy,Horror",false,nm0159725,Benjamin Christensen
tt0013427,Nanook of the North,Nanook of the North,7.6,13526,1922,78,Documentary,false,nm0280904,Robert J. Flaherty
tt0013442,Nosferatu,"Nosferatu, eine Symphonie des Grauens",7.9,106008,1922,94,"Fantasy,Horror",true,nm0003638,F.W. Murnau
tt0015064,The Last Laugh,Der letzte Mann,8.0,15276,1924,90,Drama,true,nm0003638,F.W. Murnau
tt0015324,Sherlock Jr.,Sherlock Jr.,8.2,57580,1924,45,"Action,Comedy,Romance",false,nm0000036,Buster Keaton
tt0015648,Battleship Potemkin,Bronenosets Potyomkin,7.9,61664,1925,66,"Drama,History,Thriller",true,nm0001178,Sergei Eisenstein
tt0015864,The Gold Rush,The Gold Rush,8.1,119212,1925,95,"Adventure,Comedy,Drama",false,nm0000122,Charles Chaplin
tt0015881,Greed,Greed,8.0,10818,1924,140,"Drama,Thriller,Western",false,nm0002233,Erich von Stroheim
tt0016332,Seven Chances,Seven Chances,7.8,11805,1925,56,"Comedy,Romance",false,nm0000036,Buster Keaton
tt0016847,Faust,Faust: Eine deutsche Volkssage,8.1,16719,1926,107,"Drama,Fantasy,Horror",true,nm0003638,F.W. Murnau
tt0017075,The Lodger: A Story of the London Fog,The Lodger: A Story of the London Fog,7.3,13479,1927,92,"Crime,Drama,Mystery",false,nm0000033,Alfred Hitchcock
tt0017136,Metropolis,Metropolis,8.3,186431,1927,153,"Drama,Sci-Fi",false,nm0000485,Fritz Lang
tt0018037,The Jazz Singer,The Jazz Singer,6.4,11140,1927,88,"Drama,Music,Musical",false,nm0189076,Alan Crosland
tt0018455,Sunrise,Sunrise: A Song of Two Humans,8.1,54028,1927,94,"Drama,Romance",true,nm0003638,F.W. Murnau
tt0018737,Pandora's Box,Die Büchse der Pandora,7.8,11920,1929,109,"Crime,Drama,Romance",true,nm0655065,Georg Wilhelm Pabst
tt0018773,The Circus,The Circus,8.1,36229,1928,72,"Comedy,Family,Romance",false,nm0000122,Charles Chaplin
tt0019254,The Passion of Joan of Arc,La passion de Jeanne d'Arc,8.1,61107,1928,114,"Biography,Drama,History",true,nm0003433,Carl Theodor Dreyer
tt0019702,Blackmail,Blackmail,6.9,12071,1929,85,"Crime,Drama,Thriller",false,nm0000033,Alfred Hitchcock
tt0019760,Man with a Movie Camera,Chelovek s kino-apparatom,8.3,28150,1929,68,Documentary,true,nm0895048,Dziga Vertov
tt0020629,All Quiet on the Western Front,All Quiet on the Western Front,8.1,67989,1930,152,"Drama,War",false,nm0587277,Lewis Milestone
tt0020640,Animal Crackers,Animal Crackers,7.4,15343,1930,97,"Comedy,Family,Musical",false,nm0373511,Victor Heerman
tt0020697,The Blue Angel,Der blaue Engel,7.7,16358,1930,104,"Drama,Music,Romance",true,nm0903049,Josef von Sternberg
tt0021079,Little Caesar,Little Caesar,7.2,14624,1931,79,"Action,Crime,Drama",false,nm0503777,Mervyn LeRoy
tt0021577,L'Age d'Or,L'âge d'or,7.2,14870,1930,63,"Comedy,Drama",true,nm0000320,Luis Buñuel
tt0021749,City Lights,City Lights,8.5,197001,1931,87,"Comedy,Drama,Romance",false,nm0000122,Charles Chaplin
tt0021884,Frankenstein,Frankenstein,7.8,80148,1931,70,"Drama,Horror,Sci-Fi",false,nm0001843,James Whale
tt0022100,M,M - Eine Stadt sucht einen Mörder,8.3,169370,1931,99,"Crime,Mystery,Thriller",true,nm0000485,Fritz Lang
tt0022158,Monkey Business,Monkey Business,7.4,14319,1931,77,"Comedy,Family,Musical",false,nm0572851,Norman Z. McLeod
tt0022286,The Public Enemy,The Public Enemy,7.6,23179,1931,83,"Crime,Drama",false,nm0920074,William A. Wellman
tt0022835,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,7.6,15912,1931,98,"Horror,Sci-Fi",false,nm0541149,Rouben Mamoulian
tt0022913,Freaks,Freaks,7.8,50853,1932,64,"Drama,Horror",false,nm0115218,Tod Browning
tt0022958,Grand Hotel,Grand Hotel,7.3,20985,1932,112,"Drama,Romance",false,nm0332539,Edmund Goulding
tt0023027,Horse Feathers,Horse Feathers,7.5,13448,1932,68,"Comedy,Family,Musical",false,nm0572851,Norman Z. McLeod
tt0023042,I Am a Fugitive from a Chain Gang,I Am a Fugitive from a Chain Gang,8.2,14518,1932,92,"Crime,Drama,Film-Noir",false,nm0503777,Mervyn LeRoy
tt0023245,The Mummy,The Mummy,7.0,30314,1932,73,"Fantasy,Horror",false,nm0005713,Karl Freund
tt0023293,The Old Dark House,The Old Dark House,7.0,13194,1932,72,"Adventure,Comedy,Drama",false,nm0001843,James Whale
tt0023458,Shanghai Express,Shanghai Express,7.3,10444,1932,82,"Adventure,Drama,Film-Noir",false,nm0903049,Josef von Sternberg
tt0023563,The Testament of Dr. Mabuse,Das Testament des Dr. Mabuse,7.9,13656,1933,122,"Crime,Mystery,Thriller",true,nm0000485,Fritz Lang
tt0023622,Trouble in Paradise,Trouble in Paradise,7.9,16268,1932,83,"Comedy,Crime,Romance",false,nm0523932,Ernst Lubitsch
tt0023649,Vampyr,Vampyr,7.4,20640,1932,75,"Fantasy,Horror",false,nm0003433,Carl Theodor Dreyer
tt0023694,White Zombie,White Zombie,6.2,11711,1932,69,Horror,false,nm0356931,Victor Halperin
tt0023969,Duck Soup,Duck Soup,7.7,62955,1933,69,"Comedy,Musical",false,nm0564970,Leo McCarey
